par_state,par_stateabbrv,kid_count,inventor,top5cit,inventor_cat_1,inventor_cat_2,inventor_cat_3,inventor_cat_4,inventor_cat_5,inventor_cat_6,inventor_cat_7,top5cit_cat_1,top5cit_cat_2,top5cit_cat_3,top5cit_cat_4,top5cit_cat_5,top5cit_cat_6,top5cit_cat_7,kid_count_g_m,inventor_g_m,top5cit_g_m,inventor_cat_1_g_m,inventor_cat_2_g_m,inventor_cat_3_g_m,inventor_cat_4_g_m,inventor_cat_5_g_m,inventor_cat_6_g_m,inventor_cat_7_g_m,top5cit_cat_1_g_m,top5cit_cat_2_g_m,top5cit_cat_3_g_m,top5cit_cat_4_g_m,top5cit_cat_5_g_m,top5cit_cat_6_g_m,top5cit_cat_7_g_m,kid_count_g_f,inventor_g_f,top5cit_g_f,inventor_cat_1_g_f,inventor_cat_2_g_f,inventor_cat_3_g_f,inventor_cat_4_g_f,inventor_cat_5_g_f,inventor_cat_6_g_f,inventor_cat_7_g_f,top5cit_cat_1_g_f,top5cit_cat_2_g_f,top5cit_cat_3_g_f,top5cit_cat_4_g_f,top5cit_cat_5_g_f,top5cit_cat_6_g_f,top5cit_cat_7_g_f,kid_count_pq_1,inventor_pq_1,top5cit_pq_1,inventor_cat_1_pq_1,inventor_cat_2_pq_1,inventor_cat_3_pq_1,inventor_cat_4_pq_1,inventor_cat_5_pq_1,inventor_cat_6_pq_1,inventor_cat_7_pq_1,top5cit_cat_1_pq_1,top5cit_cat_2_pq_1,top5cit_cat_3_pq_1,top5cit_cat_4_pq_1,top5cit_cat_5_pq_1,top5cit_cat_6_pq_1,top5cit_cat_7_pq_1,kid_count_pq_2,inventor_pq_2,top5cit_pq_2,inventor_cat_1_pq_2,inventor_cat_2_pq_2,inventor_cat_3_pq_2,inventor_cat_4_pq_2,inventor_cat_5_pq_2,inventor_cat_6_pq_2,inventor_cat_7_pq_2,top5cit_cat_1_pq_2,top5cit_cat_2_pq_2,top5cit_cat_3_pq_2,top5cit_cat_4_pq_2,top5cit_cat_5_pq_2,top5cit_cat_6_pq_2,top5cit_cat_7_pq_2,kid_count_pq_3,inventor_pq_3,top5cit_pq_3,inventor_cat_1_pq_3,inventor_cat_2_pq_3,inventor_cat_3_pq_3,inventor_cat_4_pq_3,inventor_cat_5_pq_3,inventor_cat_6_pq_3,inventor_cat_7_pq_3,top5cit_cat_1_pq_3,top5cit_cat_2_pq_3,top5cit_cat_3_pq_3,top5cit_cat_4_pq_3,top5cit_cat_5_pq_3,top5cit_cat_6_pq_3,top5cit_cat_7_pq_3,kid_count_pq_4,inventor_pq_4,top5cit_pq_4,inventor_cat_1_pq_4,inventor_cat_2_pq_4,inventor_cat_3_pq_4,inventor_cat_4_pq_4,inventor_cat_5_pq_4,inventor_cat_6_pq_4,inventor_cat_7_pq_4,top5cit_cat_1_pq_4,top5cit_cat_2_pq_4,top5cit_cat_3_pq_4,top5cit_cat_4_pq_4,top5cit_cat_5_pq_4,top5cit_cat_6_pq_4,top5cit_cat_7_pq_4,kid_count_pq_5,inventor_pq_5,top5cit_pq_5,inventor_cat_1_pq_5,inventor_cat_2_pq_5,inventor_cat_3_pq_5,inventor_cat_4_pq_5,inventor_cat_5_pq_5,inventor_cat_6_pq_5,inventor_cat_7_pq_5,top5cit_cat_1_pq_5,top5cit_cat_2_pq_5,top5cit_cat_3_pq_5,top5cit_cat_4_pq_5,top5cit_cat_5_pq_5,top5cit_cat_6_pq_5,top5cit_cat_7_pq_5
Alaska,AK,42265,0.0017982,0.0000473,0.0000946,0.0006388,0.0002366,0.0002129,0.0002129,0.0003312,0.000071,0,0.0000237,0,0,0,0,0.0000237,21571,0.0029669,0.0000927,0.0001854,0.001159,0.0004172,0.0003245,0.0003709,0.0004172,0.0000927,0,0.0000464,0,0,0,0,0.0000464,20693,0.0005799,0,0,0.0000967,0.0000483,0.0000967,0.0000483,0.0002416,0.0000483,0,0,0,0,0,0,0,4420,0.0006787,0,0,0,0,0,0.0002262,0.0002262,0.0002262,0,0,0,0,0,0,0,6706,0.0008947,0,0,0.0004474,0,0.0001491,0,0.0002982,0,0,0,0,0,0,0,0,8459,0.0005911,0,0,0.0003547,0,0.0001182,0,0.0001182,0,0,0,0,0,0,0,0,10418,0.0017278,0,0,0.0004799,0.000192,0.0004799,0.000288,0.000192,0.000096,0,0,0,0,0,0,0,12262,0.0035883,0.0001631,0.0003262,0.0013048,0.0006524,0.0001631,0.0004078,0.0006524,0.0000816,0,0.0000816,0,0,0,0,0.0000816
Alabama,AL,273721,0.0007964,0.0000329,0.0000877,0.000285,0.0000986,0.000084,0.0000658,0.0001169,0.0000585,3.65E-06,3.65E-06,0,3.65E-06,0,7.31E-06,0.0000146,137697,0.0012927,0.0000508,0.0001307,0.0005301,0.0001307,0.0001162,0.0001017,0.0002179,0.0000654,7.26E-06,7.26E-06,0,7.26E-06,0,0.0000145,0.0000145,135995,0.0002941,0.0000147,0.0000441,0.0000368,0.0000662,0.0000515,0.0000294,0.0000147,0.0000515,0,0,0,0,0,0,0.0000147,74075,0.000189,0.0000135,0.000027,0.0000405,0.0000135,0,0.0000405,0.0000675,0,0,0,0,0,0,0.0000135,0,63880,0.0002818,0,0.0000157,0.0001409,0.0000157,0.000047,0.0000313,0.0000157,0.0000157,0,0,0,0,0,0,0,51567,0.0005818,0.0000194,0.0001164,0.0001357,0.0000776,0.0000194,0.0000582,0.000097,0.0000776,0,0,0,0,0,0,0.0000194,45688,0.0010506,0.0000438,0.0001094,0.0004159,0.0001313,0.0000876,0.0000876,0.0001532,0.0000657,0.0000219,0,0,0,0,0,0.0000219,38511,0.0028044,0.0001298,0.0002597,0.0010387,0.0003895,0.0003895,0.0001558,0.0003635,0.0002077,0,0.000026,0,0.000026,0,0.000026,0.0000519
Arkansas,AR,162805,0.0007924,0.000043,0.000043,0.0001843,0.000129,0.0001413,0.0000799,0.0001351,0.0000799,0,0,0,6.14E-06,0,0.0000123,0.0000246,82367,0.001384,0.000085,0.000085,0.0003521,0.00017,0.0002792,0.0001578,0.0002064,0.0001335,0,0,0,0.0000121,0,0.0000243,0.0000486,80429,0.0001865,0,0,0.0000124,0.000087,0,0,0.0000622,0.0000249,0,0,0,0,0,0,0,43263,0.0001849,0.0000231,0,0.0000231,0,0.0000462,0.0000231,0.0000693,0.0000231,0,0,0,0,0,0,0.0000231,42201,0.0003554,0,0,0.0000948,0.0000474,0.0000237,0.0000474,0.0000711,0.0000711,0,0,0,0,0,0,0,34296,0.0008747,0.0000583,0.0001166,0.0001458,0.0001458,0.0001166,0.0000583,0.0001749,0.0001166,0,0,0,0,0,0.0000292,0.0000292,25461,0.001571,0.0001178,0.0000393,0.0003928,0.0002357,0.0003142,0.0002749,0.0001964,0.0001178,0,0,0,0.0000393,0,0,0.0000786,17584,0.0020473,0.0000569,0.0001137,0.0005687,0.000455,0.000455,0.0000569,0.0002843,0.0001137,0,0,0,0,0,0.0000569,0
Arizona,AZ,269197,0.0020134,0.0000892,0.00013,0.0007281,0.0003566,0.0002155,0.0002117,0.00026,0.0001114,0,0.0000149,3.71E-06,0.0000186,3.71E-06,0.0000223,0.000026,135771,0.0032628,0.0001252,0.000221,0.0012889,0.0004861,0.0003314,0.0003535,0.0004198,0.000162,0,0.0000221,7.37E-06,0.0000221,7.37E-06,0.0000368,0.0000295,133405,0.0007421,0.0000525,0.0000375,0.0001574,0.0002249,0.0000974,0.0000675,0.0000974,0.00006,0,7.50E-06,0,0.000015,0,7.50E-06,0.0000225,48930,0.0007153,0.0000409,0.0000409,0.0002248,0.0001226,0.0000613,0.0001226,0.0001022,0.0000409,0,0,0,0,0,0.0000204,0.0000204,59938,0.0010177,0.0000334,0.0001168,0.0002503,0.0001502,0.0000834,0.0001335,0.0001668,0.0001168,0,0,0,0,0,0,0.0000334,56024,0.0015351,0.0001071,0.0001071,0.0004462,0.0003391,0.000232,0.0000892,0.000232,0.0000892,0,0.0000178,0,0.0000357,0,0.0000535,0,52846,0.0020626,0.0000946,0.0001703,0.0009272,0.000246,0.0001703,0.000246,0.0002082,0.0000946,0,0.0000189,0.0000189,0,0.0000189,0,0.0000378,51459,0.0048777,0.0001749,0.0002138,0.0018656,0.0009522,0.0005441,0.0004858,0.0006024,0.0002138,0,0.0000389,0,0.0000583,0,0.0000389,0.0000389
California,CA,1670537,0.0024705,0.0001125,0.0001604,0.0009195,0.0004196,0.0003023,0.000188,0.0003113,0.0001694,4.79E-06,0.0000377,0.0000144,0.0000144,6.58E-06,0.000012,0.0000227,836688,0.0039788,0.0001924,0.0002307,0.0015824,0.0005677,0.0005175,0.0003358,0.0004888,0.0002558,7.17E-06,0.0000705,0.0000227,0.0000287,0.0000108,0.0000203,0.0000323,833635,0.0009549,0.0000324,0.00009,0.0002519,0.0002711,0.0000864,0.0000396,0.0001332,0.0000828,2.40E-06,4.80E-06,6.00E-06,0,2.40E-06,3.60E-06,0.0000132,325249,0.0008732,0.0000307,0.0000738,0.0002859,0.0001353,0.000123,0.0000646,0.0001291,0.0000615,0,9.22E-06,3.07E-06,3.07E-06,6.15E-06,3.07E-06,6.15E-06,329998,0.0010788,0.0000455,0.0000788,0.0003455,0.0001758,0.000103,0.0000818,0.0001818,0.0001121,0,9.09E-06,6.06E-06,0,0,9.09E-06,0.0000212,317780,0.0014507,0.0000755,0.0001259,0.0004657,0.0002643,0.0001479,0.0001259,0.0002014,0.0001196,9.44E-06,0.000022,9.44E-06,6.29E-06,6.29E-06,6.29E-06,0.0000157,312195,0.0023127,0.0001217,0.000173,0.0008168,0.0004132,0.0002979,0.0001602,0.0002787,0.000173,0,0.0000416,6.41E-06,0.0000224,6.41E-06,0.0000256,0.0000192,385315,0.0059795,0.0002621,0.0003218,0.0024032,0.0010018,0.0007552,0.0004568,0.0006929,0.0003478,0.000013,0.000096,0.0000415,0.0000363,0.000013,0.0000156,0.0000467
Colorado,CO,248585,0.0028441,0.0001207,0.0002575,0.0008528,0.0004747,0.0004184,0.0002172,0.0003862,0.0002333,8.05E-06,0.0000161,0.0000161,8.05E-06,8.05E-06,0.0000201,0.0000443,125849,0.0046723,0.0002145,0.0004052,0.0014859,0.0006834,0.0007549,0.0003655,0.0006198,0.0003496,7.95E-06,0.0000238,0.0000318,0.0000159,0.0000159,0.0000397,0.0000795,122717,0.0009697,0.0000244,0.0001059,0.0002037,0.0002608,0.0000733,0.0000652,0.0001467,0.0001141,8.15E-06,8.15E-06,0,0,0,0,8.15E-06,32033,0.0010614,0.0000624,0.0000937,0.0002497,0.0001561,0.0001249,0.0000312,0.0002497,0.0001561,0,0,0,0,0.0000312,0,0.0000312,45216,0.0010616,0.0000442,0.0000442,0.0002212,0.0002433,0.0001548,0.0000885,0.0001769,0.0001327,0,0,0.0000221,0,0,0,0.0000221,51434,0.0019442,0,0.000175,0.0006416,0.0002722,0.0003111,0.0001944,0.0002333,0.0000972,0,0,0,0,0,0,0,56120,0.0025659,0.0000356,0.0002851,0.0006949,0.0004811,0.0002851,0.0002495,0.0003029,0.0002673,0,0,0,0,0,0,0.0000356,63782,0.0059735,0.0003763,0.0005331,0.0019128,0.0009564,0.0009564,0.000392,0.0007996,0.0004233,0.0000314,0.0000627,0.000047,0.0000314,0.0000157,0.0000784,0.0001097
Connecticut,CT,174527,0.0032316,0.0001604,0.0003209,0.0009282,0.000573,0.0004698,0.0004011,0.000361,0.0001776,5.73E-06,0.0000286,0,0.0000516,0.0000172,5.73E-06,0.0000516,87385,0.0051611,0.0002861,0.0004577,0.0015678,0.0006866,0.0008239,0.0007209,0.000618,0.0002861,0.0000114,0.0000343,0,0.000103,0.0000343,0.0000114,0.0000915,87117,0.0012971,0.0000344,0.0001837,0.000287,0.0004592,0.0001148,0.0000804,0.0001033,0.0000689,0,0.000023,0,0,0,0,0.0000115,21474,0.0005122,0.0000466,0.0000466,0.0002328,0,0,0,0.0000931,0.0001397,0,0,0,0,0,0,0.0000466,24244,0.0014024,0.0001237,0.0002475,0.00033,0.000165,0.0002475,0.0000825,0.0002475,0.0000825,0,0.0000825,0,0,0,0,0.0000412,29651,0.0019224,0.0000675,0.0003035,0.0005396,0.0001686,0.0002698,0.0002024,0.000371,0.0000675,0.0000337,0,0,0,0,0,0.0000337,39525,0.0028083,0.0001771,0.0003036,0.0005819,0.0005566,0.0003795,0.000506,0.0003289,0.0001518,0,0.0000253,0,0.0000759,0.0000253,0,0.0000506,59633,0.005886,0.0002515,0.0004695,0.0018446,0.0011571,0.0008888,0.0007043,0.0005198,0.0003018,0,0.0000335,0,0.0001006,0.0000335,0.0000168,0.0000671
District of Columbia,DC,20319,0.0009843,0.0001476,0.0000984,0.0004429,0.0000492,0.0000984,0.0000984,0.0000984,0.0000984,0,0,0,0.0000492,0,0,0.0000984,9918,0.0017141,0.0003025,0,0.0009074,0.0001008,0.0002017,0.0002017,0.0001008,0.0002017,0,0,0,0.0001008,0,0,0.0002017,10400,0.0002885,0,0.0001923,0,0,0,0,0.0000962,0,0,0,0,0,0,0,0,6240,0.0001603,0.0001603,0,0,0,0,0,0,0.0001603,0,0,0,0,0,0,0.0001603,5960,0.0001678,0,0,0,0,0,0.0001678,0,0,0,0,0,0,0,0,0,3292,0.0003038,0,0,0,0,0,0,0.0003038,0,0,0,0,0,0,0,0,1795,0.0005571,0.0005571,0,0,0,0,0,0,0.0005571,0,0,0,0,0,0,0.0005571,3032,0.005277,0.0003298,0.0006596,0.0029683,0.0003298,0.0006596,0.0003298,0.0003298,0,0,0,0,0.0003298,0,0,0
Delaware,DE,45254,0.0020551,0.0000663,0.0002431,0.0006629,0.0004861,0.0002431,0.0001326,0.0002873,0,0,0.0000221,0,0,0,0.0000442,0,22844,0.0032394,0.0000438,0.000394,0.0010506,0.0006566,0.0004378,0.0002627,0.0004378,0,0,0,0,0,0,0.0000438,0,22409,0.0008479,0.0000892,0.0000892,0.0002677,0.0003124,0.0000446,0,0.0001339,0,0,0.0000446,0,0,0,0.0000446,0,7614,0.0002627,0,0,0.0001313,0,0,0,0.0001313,0,0,0,0,0,0,0,0,8867,0.0005639,0,0.0001128,0.0003383,0.0001128,0,0,0,0,0,0,0,0,0,0,0,8606,0.001162,0,0.0002324,0.0004648,0.0002324,0.0001162,0.0001162,0,0,0,0,0,0,0,0,0,9567,0.001986,0.0002091,0.0001045,0.0004181,0.0007317,0.0002091,0,0.0005226,0,0,0.0001045,0,0,0,0.0001045,0,10600,0.0053774,0.0000943,0.0006604,0.0016981,0.0011321,0.0007547,0.0004717,0.0006604,0,0,0,0,0,0,0.0000943,0
Florida,FL,670987,0.0015827,0.00007,0.0001148,0.0004516,0.0002236,0.0002295,0.000155,0.0002742,0.0001341,1.49E-06,0.0000179,2.98E-06,0.0000119,1.49E-06,2.98E-06,0.0000313,335565,0.0024556,0.0001132,0.0001579,0.000754,0.0002742,0.0003963,0.0002652,0.0004202,0.0001877,0,0.0000358,2.98E-06,0.0000238,0,5.96E-06,0.0000447,335369,0.0007097,0.0000268,0.0000716,0.0001491,0.0001729,0.0000626,0.0000447,0.0001282,0.0000805,2.98E-06,0,2.98E-06,0,2.98E-06,0,0.0000179,162591,0.0004797,0.0000308,0.0000308,0.0001292,0.0000677,0.0000431,0.0000431,0.0001107,0.0000554,0,6.15E-06,0,0,0,0,0.0000246,170677,0.0009316,0.0000293,0.0000644,0.0002812,0.0001172,0.0001348,0.0000703,0.0001758,0.0000879,5.86E-06,0,0,0.0000117,0,0,0.0000117,137741,0.0013141,0.0000653,0.0001016,0.0003049,0.0001742,0.0001815,0.0001597,0.0002759,0.0001162,0,0.0000145,0,0.0000218,0,0,0.000029,106672,0.0022124,0.0000656,0.0002062,0.0006656,0.0002625,0.0004406,0.0002062,0.0003,0.0001312,0,0.0000281,0,0,9.37E-06,0,0.0000281,93306,0.0043727,0.0002251,0.0002679,0.0012968,0.0007181,0.0005573,0.0004394,0.0007074,0.0003858,0,0.0000643,0.0000214,0.0000322,0,0.0000214,0.0000857
Georgia,GA,480311,0.0011534,0.0000583,0.0000895,0.000331,0.0001749,0.0001332,0.0001166,0.0001874,0.0001208,2.08E-06,4.16E-06,4.16E-06,4.16E-06,6.25E-06,6.25E-06,0.0000312,240920,0.0017848,0.0000872,0.0001162,0.0005645,0.0002283,0.0002366,0.0002075,0.0002532,0.0001785,4.15E-06,8.30E-06,8.30E-06,8.30E-06,0.0000125,4.15E-06,0.0000415,239339,0.0005181,0.0000292,0.0000627,0.0000961,0.0001212,0.0000292,0.0000251,0.0001212,0.0000627,0,0,0,0,0,8.36E-06,0.0000209,111423,0.0002244,0,0.0000179,0.0000538,0.0000449,8.97E-06,8.97E-06,0.0000808,8.97E-06,0,0,0,0,0,0,0,107655,0.0004459,0.0000186,0.0000372,0.0001393,0.0000464,0.0000743,0.0000464,0.000065,0.0000372,0,9.29E-06,0,0,0,0,9.29E-06,88349,0.0008715,0.0000453,0.0000679,0.0002151,0.0001471,0.0001019,0.0000566,0.0001132,0.0001698,0,0,0,0.0000113,0,0,0.000034,82898,0.0014476,0.0000603,0.0000965,0.0004101,0.0002533,0.0000965,0.000193,0.0002533,0.0001448,0,0.0000121,0,0,0.0000121,0.0000121,0.0000241,89986,0.003156,0.0001889,0.0002556,0.0009446,0.0004445,0.0004223,0.0003223,0.0004779,0.0002889,0.0000111,0,0.0000222,0.0000111,0.0000222,0.0000222,0.0001
Hawaii,HI,61399,0.0015961,0.0001792,0.0000814,0.0005538,0.0002606,0.0002606,0.000114,0.0001954,0.0001303,0.0000163,0.0000489,0.0000326,0,0.0000163,0,0.0000651,30954,0.002326,0.0002908,0.0000969,0.0008077,0.0003231,0.0004523,0.0002261,0.0002908,0.0001292,0.0000323,0.0000969,0.0000646,0,0.0000323,0,0.0000646,30438,0.0008542,0.0000657,0.0000657,0.0002957,0.0001971,0.0000657,0,0.0000986,0.0001314,0,0,0,0,0,0,0.0000657,9364,0.0003204,0,0,0,0.0001068,0,0,0.0002136,0,0,0,0,0,0,0,0,12383,0.0005653,0,0.0000808,0.0001615,0,0.0000808,0,0.0001615,0.0000808,0,0,0,0,0,0,0,13138,0.0009134,0,0,0.0006089,0,0.0000761,0.0000761,0.0000761,0.0000761,0,0,0,0,0,0,0,13759,0.0013809,0.0001454,0.0001454,0.000218,0.0002907,0.000218,0.0000727,0.0002907,0.0001454,0,0,0.0000727,0,0,0,0.0000727,12755,0.0044688,0.0007056,0.0001568,0.0016464,0.0008624,0.0008624,0.000392,0.0002352,0.0003136,0.0000784,0.0002352,0.0000784,0,0.0000784,0,0.0002352
Iowa,IA,190302,0.0025118,0.0001104,0.0002365,0.000599,0.0003363,0.000247,0.0004309,0.0004992,0.0001629,5.25E-06,0.0000263,0,0.0000105,0.0000158,0.000021,0.0000315,95837,0.0042259,0.0002087,0.0003443,0.0010226,0.0004591,0.0004382,0.0008034,0.0008452,0.000313,0.0000104,0.0000417,0,0.0000209,0.0000313,0.0000417,0.0000626,94465,0.0007728,0.0000106,0.000127,0.0001694,0.0002117,0.0000529,0.0000529,0.0001482,0.0000106,0,0.0000106,0,0,0,0,0,21487,0.0009308,0,0.0000931,0.0002327,0.0001862,0.0000465,0.0001396,0.0001862,0.0000465,0,0,0,0,0,0,0,36413,0.0013457,0.0000824,0.0001922,0.0002472,0.0001648,0.0001373,0.0001373,0.000357,0.0001099,0,0,0,0,0,0.0000275,0.0000549,50142,0.0018148,0.0000798,0.0001795,0.0003191,0.0001994,0.0001595,0.0003789,0.0003789,0.0001994,0,0,0,0.0000199,0.0000199,0.0000199,0.0000199,49239,0.0030261,0.0001422,0.000264,0.0007921,0.0003249,0.0002234,0.000589,0.0006296,0.0002031,0,0.0000406,0,0,0.0000203,0.0000203,0.0000609,33021,0.005118,0.000212,0.000424,0.0013628,0.0008479,0.0006662,0.0007874,0.0008479,0.0001817,0.0000303,0.0000909,0,0.0000303,0.0000303,0.0000303,0
Idaho,ID,92085,0.0024108,0.0000869,0.0000977,0.0006516,0.0004018,0.0002715,0.0003801,0.0004561,0.000152,0,0.0000326,0,0.0000217,0.0000326,0,0,46918,0.0041988,0.0001705,0.0001705,0.0011723,0.0005968,0.0005328,0.000746,0.0007886,0.0001918,0,0.0000639,0,0.0000426,0.0000639,0,0,45162,0.0005536,0,0.0000221,0.0001107,0.0001993,0,0,0.0001107,0.0001107,0,0,0,0,0,0,0,12824,0.0013256,0.000078,0,0.0005459,0.0003119,0,0.0003119,0.000156,0,0,0.000078,0,0,0,0,0,20448,0.0009292,0.0000489,0.0000978,0.0000978,0.0002445,0.0001956,0.0000489,0.0000978,0.0001467,0,0,0,0,0.0000489,0,0,24303,0.0019751,0,0.0000823,0.0004938,0.000288,0.0001234,0.0003703,0.0005349,0.0000823,0,0,0,0,0,0,0,20609,0.0032025,0.000097,0.0001456,0.0009219,0.0003882,0.0004367,0.0004367,0.0006793,0.0001941,0,0,0,0.000097,0,0,0,13901,0.0051795,0.0002877,0.0001439,0.0014387,0.0009352,0.0006474,0.0008632,0.0007913,0.0003597,0,0.0001439,0,0,0.0001439,0,0
Illinois,IL,714061,0.0025558,0.0001554,0.0002045,0.0007296,0.0002997,0.0003025,0.0003683,0.0004551,0.0001961,2.80E-06,0.0000252,4.20E-06,0.000028,0.0000182,0.0000224,0.0000546,358330,0.0041889,0.0002707,0.0002874,0.001253,0.0003879,0.0005554,0.0006781,0.0007256,0.0003014,2.79E-06,0.0000474,8.37E-06,0.0000502,0.0000363,0.0000419,0.0000837,355703,0.0009109,0.0000394,0.0001209,0.0002024,0.0002109,0.0000478,0.0000562,0.0001827,0.00009,2.81E-06,2.81E-06,0,5.62E-06,0,2.81E-06,0.0000253,107109,0.0004668,0,0.0000654,0.0001494,0.0000467,0.000028,0.000028,0.0001027,0.0000467,0,0,0,0,0,0,0,125665,0.0008753,0.0000477,0.0000477,0.0002149,0.0001114,0.0001432,0.0000716,0.0002069,0.0000796,0,0.0000159,0,0,7.96E-06,0,0.0000239,139875,0.001487,0.0000715,0.0001787,0.0003289,0.0001215,0.0001215,0.0003003,0.0003503,0.0000858,0,7.15E-06,0,0.0000214,0,0.0000214,0.0000214,160752,0.0026252,0.0001555,0.0001991,0.0006967,0.0002862,0.0002986,0.0004043,0.0005101,0.0002302,0,0.0000187,0,0.0000311,0.0000187,0.0000249,0.0000622,180660,0.005729,0.0003875,0.0004207,0.0017713,0.0007307,0.0007196,0.0007971,0.000869,0.0004207,0.0000111,0.0000664,0.0000166,0.0000664,0.0000498,0.0000498,0.0001273
